,composerName,season,living
16689,"Glazunov,  Alexander",1926-27,Y
16690,"Certon,  Pierre",1926-27,N
16691,"Paderewski,  Ignacy  Jan",1926-27,Y
16692,"Langley,  Allan  Lincoln",1926-27,
16693,"Skilton,  Charles  Sanford",1926-27,Y
16694,"Weber,  Carl  Maria Von",1926-27,N
16695,"Sibelius,  Jean",1926-27,Y
16696,"Strauss,  Richard",1926-27,Y
16697,"Brahms,  Johannes",1926-27,N
16698,"Weber,  Carl  Maria Von",1926-27,N
16699,"Sibelius,  Jean",1926-27,Y
16700,"Strauss,  Richard",1926-27,Y
16701,"Brahms,  Johannes",1926-27,N
16702,"Weber,  Carl  Maria Von",1926-27,N
16703,"Sibelius,  Jean",1926-27,Y
16704,"Strauss,  Richard",1926-27,Y
16705,"Brahms,  Johannes",1926-27,N
16706,"Weber,  Carl  Maria Von",1926-27,N
16707,"Sibelius,  Jean",1926-27,Y
16708,"Strauss,  Richard",1926-27,Y
16709,"Brahms,  Johannes",1926-27,N
16710,"Beethoven,  Ludwig  van",1926-27,N
16711,"Reger,  Max",1926-27,N
16712,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16713,"Weber,  Carl  Maria Von",1926-27,N
16714,"Sibelius,  Jean",1926-27,Y
16715,"Strauss,  Richard",1926-27,Y
16716,"Brahms,  Johannes",1926-27,N
16717,"Beethoven,  Ludwig  van",1926-27,N
16718,"Beethoven,  Ludwig  van",1926-27,N
16719,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16720,"Wagner,  Richard",1926-27,N
16721,"Weber,  Carl  Maria Von",1926-27,N
16722,"Sibelius,  Jean",1926-27,Y
16723,"Strauss,  Richard",1926-27,Y
16724,"Brahms,  Johannes",1926-27,N
16725,"Franck,  César",1926-27,N
16726,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16727,"Berlioz,  Hector",1926-27,N
16728,"Braunfels,  Walter",1926-27,Y
16729,"Strauss,  Richard",1926-27,Y
16730,"Brahms,  Johannes",1926-27,N
16731,"Beethoven,  Ludwig  van",1926-27,N
16732,"Haydn,  Franz  Joseph",1926-27,N
16733,"Dvorak,  Antonín",1926-27,N
16734,"Elgar,  Sir  Edward",1926-27,Y
16735,"Bach,  Johann  Sebastian",1926-27,N
16736,"Beethoven,  Ludwig  van",1926-27,N
16737,"Labate,  Bruno",1926-27,
16738,"Abert,  Johann  Joseph",1926-27,N
16739,"Luther,  Martin",1926-27,N
16740,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16741,"Bach,  Johann  Sebastian",1926-27,N
16742,"Hindemith,  Paul",1926-27,Y
16743,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16744,"Beethoven,  Ludwig  van",1926-27,N
16745,"Verdi,  Giuseppe",1926-27,N
16746,"Haydn,  Franz  Joseph",1926-27,N
16747,"Brahms,  Johannes",1926-27,N
16748,"Bach,  Johann  Sebastian",1926-27,N
16749,"Schelling,  Ernest",1926-27,Y
16750,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16751,"Beethoven,  Ludwig  van",1926-27,N
16752,"Beethoven,  Ludwig  van",1926-27,N
16753,"Beethoven,  Ludwig  van",1926-27,N
16754,"Franck,  César",1926-27,N
16755,"Massenet,  Jules",1926-27,N
16756,"Vaughan Williams,  Ralph",1926-27,Y
16757,"Wagner,  Richard",1926-27,N
16758,"Albeniz [Albéniz],  Isaac",1926-27,N
16759,"Strauss,  Richard",1926-27,Y
16760,"Bruch,  Max",1926-27,N
16761,"Schulz,  Leo",1926-27,Y
16762,"Dvorak,  Antonín",1926-27,N
16763,"Franck,  César",1926-27,N
16764,"Strauss,  Richard",1926-27,Y
16765,"Schelling,  Ernest",1926-27,Y
16766,"Franck,  César",1926-27,N
16767,"Brahms,  Johannes",1926-27,N
16768,"Wagner,  Richard",1926-27,N
16769,"Braunfels,  Walter",1926-27,Y
16770,"Strauss,  Richard",1926-27,Y
16771,"Beethoven,  Ludwig  van",1926-27,N
16772,"Brahms,  Johannes",1926-27,N
16773,"Franck,  César",1926-27,N
16774,"Liszt,  Franz",1926-27,N
16775,"Vaughan Williams,  Ralph",1926-27,Y
16776,"Albeniz [Albéniz],  Isaac",1926-27,N
16777,"Bach,  Johann  Sebastian",1926-27,N
16778,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16779,"Delibes,  Léo",1926-27,N
16780,"Bizet,  Georges",1926-27,N
16781,"Ward,  Samuel  Augustus",1926-27,N
16782,"Saint-Saens [Saint-Saëns],  Camille",1926-27,Y
16783,"Demonstration,",1926-27,Y
16784,"Rossini,  Gioachino",1926-27,N
16785,"Mozart,  Wolfgang  Amadeus",1926-27,N
16786,"Haydn,  Franz  Joseph",1926-27,N
16787,"Mendelssohn,  Felix",1926-27,N
16788,"Beethoven,  Ludwig  van",1926-27,N
16789,"Steffe,  William",1926-27,N
16790,"Labate,  Bruno",1926-27,
16791,"Ippolitov-Ivanov,  Mikhail",1926-27,Y
16792,"Beethoven,  Ludwig  van",1926-27,N
16793,"Beethoven,  Ludwig  van",1926-27,N
16794,"Beethoven,  Ludwig  van",1926-27,N
16795,"Beethoven,  Ludwig  van",1926-27,N
16796,"Beethoven,  Ludwig  van",1926-27,N
16797,"Bach,  Johann  Sebastian",1926-27,N
16798,"Quilter,  Roger",1926-27,Y
16799,"Alvarez,",1926-27,Y
16800,"Bellison,  Simeon",1926-27,Y
16801,"Schubert,  Franz",1926-27,N
16802,"Brahms,  Johannes",1926-27,N
16803,"Foster,  Stephen  Collins",1926-27,N
16804,"Demonstration,",1926-27,Y
16805,"Haydn,  Franz  Joseph",1926-27,N
16806,"Grieg,  Edvard",1926-27,N
16807,"Demonstration,",1926-27,Y
16808,"Weber,  Carl  Maria Von",1926-27,N
16809,"Wagner,  Richard",1926-27,N
16810,"Anthem,",1926-27,Y
16811,"Hadley,  Henry  Kimball",1926-27,Y
16812,"MacDowell,  Edward  A.",1926-27,N
16813,"Skilton,  Charles  Sanford",1926-27,Y
16814,"Herbert,  Victor",1926-27,Y
16815,"Handel,  George  Frideric",1926-27,N
16816,"Debussy,  Claude",1926-27,N
16817,"Wagner,  Richard",1926-27,N
16818,"Beethoven,  Ludwig  van",1926-27,N
16819,"Strauss,  Richard",1926-27,Y
16820,"Debussy,  Claude",1926-27,N
16821,"Borodin,  Alexander",1926-27,N
16822,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16823,"Gretry [Grétry],  Andre [André]  Ernest Modeste",1926-27,
16824,"Enesco,  Georges",1926-27,Y
16825,"Wagner,  Richard",1926-27,N
16826,"Brahms,  Johannes",1926-27,N
16827,"Mozart,  Wolfgang  Amadeus",1926-27,N
16828,"Rimsky-Korsakov,  Nikolai",1926-27,N
16829,"Sibelius,  Jean",1926-27,Y
16830,"Ippolitov-Ivanov,  Mikhail",1926-27,Y
16831,"Wagner,  Richard",1926-27,N
16832,"Franck,  César",1926-27,N
16833,"Beethoven,  Ludwig  van",1926-27,N
16834,"Wagner,  Richard",1926-27,N
16835,"Svendsen,  Johan",1926-27,N
16836,"Strauss,  Richard",1926-27,Y
16837,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16838,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16839,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16840,"Glinka,  Mikhail",1926-27,N
16841,"Delius,  Frederick",1926-27,Y
16842,"Strauss,  Richard",1926-27,Y
16843,"Strauss,  Johann, II",1926-27,
16844,"Schubert,  Franz",1926-27,N
16845,"Dvorak,  Antonín",1926-27,N
16846,"Bloch,  Ernest",1926-27,Y
16847,"Berlioz,  Hector",1926-27,N
16848,"Beethoven,  Ludwig  van",1926-27,N
16849,"Wagner,  Richard",1926-27,N
16850,"Wagner,  Richard",1926-27,N
16851,"Wagner,  Richard",1926-27,N
16852,"Weber,  Carl  Maria Von",1926-27,N
16853,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16854,"Converse,  Frederick  S.",1926-27,Y
16855,"Haydn,  Franz  Joseph",1926-27,N
16856,"Chabrier,  Emmanuel",1926-27,N
16857,"Wagner,  Richard",1926-27,N
16858,"Handel,  George  Frideric",1926-27,N
16859,"Liszt,  Franz",1926-27,N
16860,"Bach,  Johann  Sebastian",1926-27,N
16861,"Respighi,  Ottorino",1926-27,Y
16862,"Weber,  Carl  Maria Von",1926-27,N
16863,"Schubert,  Franz",1926-27,N
16864,"Musorgsky,  Modest",1926-27,N
16865,"Wagner,  Richard",1926-27,N
16866,"Brahms,  Johannes",1926-27,N
16867,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16868,"Beethoven,  Ludwig  van",1926-27,N
16869,"Beethoven,  Ludwig  van",1926-27,N
16870,"Schubert,  Franz",1926-27,N
16871,"Strauss,  Richard",1926-27,Y
16872,"Albeniz [Albéniz],  Isaac",1926-27,N
16873,"Beethoven,  Ludwig  van",1926-27,N
16874,"Mendelssohn,  Felix",1926-27,N
16875,"Smetana,  Bedrich",1926-27,N
16876,"Griffes,  Charles  Tomlinson",1926-27,N
16877,"Liszt,  Franz",1926-27,N
16878,"Mozart,  Wolfgang  Amadeus",1926-27,N
16879,"Bach,  Johann  Sebastian",1926-27,N
16880,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16881,"Liszt,  Franz",1926-27,N
16882,"Beethoven,  Ludwig  van",1926-27,N
16883,"Strauss,  Richard",1926-27,Y
16884,"Strauss,  Johann, II",1926-27,
16885,"Ippolitov-Ivanov,  Mikhail",1926-27,Y
16886,"Berlioz,  Hector",1926-27,N
16887,"Gershwin,  George",1926-27,Y
16888,"Gershwin,  George",1926-27,Y
16889,"Rimsky-Korsakov,  Nikolai",1926-27,N
16890,"Strauss,  Richard",1926-27,Y
16891,"Brahms,  Johannes",1926-27,N
16892,"Brahms,  Johannes",1926-27,N
16893,"Beethoven,  Ludwig  van",1926-27,N
16894,"Wagner,  Richard",1926-27,N
16895,"Wagner,  Richard",1926-27,N
16896,"D'Albert,  Eugen",1926-27,Y
16897,"Schubert,  Franz",1926-27,N
16898,"Moszkowski,  Moritz",1926-27,Y
16899,"Debussy,  Claude",1926-27,N
16900,"Glazunov,  Alexander",1926-27,Y
16901,"Bizet,  Georges",1926-27,N
16902,"Chausson,  Ernest",1926-27,N
16903,"Skilton,  Charles  Sanford",1926-27,Y
16904,"Wagner,  Richard",1926-27,N
16905,"Liszt,  Franz",1926-27,N
16906,"Strauss,  Johann, II",1926-27,
16907,"Bach,  Johann  Sebastian",1926-27,N
16908,"Beethoven,  Ludwig  van",1926-27,N
16909,"Holst,  Gustav",1926-27,Y
16910,"Rimsky-Korsakov,  Nikolai",1926-27,N
16911,"Herbert,  Victor",1926-27,Y
16912,"Dvorak,  Antonín",1926-27,N
16913,"Glazunov,  Alexander",1926-27,Y
16914,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16915,"Berlioz,  Hector",1926-27,N
16916,"Brahms,  Johannes",1926-27,N
16917,"Otterstrom,  Thorvald",1926-27,
16918,"Borodin,  Alexander",1926-27,N
16919,"Bruch,  Max",1926-27,N
16920,"Schumann,  Robert",1926-27,N
16921,"Wagner,  Richard",1926-27,N
16922,"Grieg,  Edvard",1926-27,N
16923,"Smetana,  Bedrich",1926-27,N
16924,"Sonnett,",1926-27,Y
16925,"Tuerck,",1926-27,
16926,"Sturm-Biel,",1926-27,
16927,"Curti,",1926-27,N
16928,"Strauss,  Johann, II",1926-27,
16929,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16930,"Holst,  Gustav",1926-27,Y
16931,"Grieg,  Edvard",1926-27,N
16932,"Alfven [Alfvén],  Hugo",1926-27,Y
16933,"Berlioz,  Hector",1926-27,N
16934,"Franck,  César",1926-27,N
16935,"Taylor,  Deems",1926-27,Y
16936,"Sibelius,  Jean",1926-27,Y
16937,"Wagner,  Richard",1926-27,N
16938,"Mozart,  Wolfgang  Amadeus",1926-27,N
16939,"Dukas,  Paul",1926-27,Y
16940,"Brahms,  Johannes",1926-27,N
16941,"Humperdinck,  Engelbert",1926-27,Y
16942,"Sinding,  Christian",1926-27,Y
16943,"Alfven [Alfvén],  Hugo",1926-27,Y
16944,"Spinelli,  Niccola",1926-27,N
16945,"Glazunov,  Alexander",1926-27,Y
16946,"Schumann,  Robert",1926-27,N
16947,"Humperdinck,  Engelbert",1926-27,Y
16948,"Wagner,  Richard",1926-27,N
16949,"Wagner,  Richard",1926-27,N
16950,"Mendelssohn,  Felix",1926-27,N
16951,"Mendelssohn,  Felix",1926-27,N
16952,"Berlioz,  Hector",1926-27,N
16953,"Franck,  César",1926-27,N
16954,"Rimsky-Korsakov,  Nikolai",1926-27,N
16955,"Weber,  Carl  Maria Von",1926-27,N
16956,"Schumann,  Robert",1926-27,N
16957,"Wagner,  Richard",1926-27,N
16958,"Wagner,  Richard",1926-27,N
16959,"Wagner,  Richard",1926-27,N
16960,"Wagner,  Richard",1926-27,N
16961,"Rossini,  Gioachino",1926-27,N
16962,"Dopper,  Cornelius",1926-27,
16963,"Ravel,  Maurice",1926-27,Y
16964,"Stravinsky,  Igor",1926-27,Y
16965,"Beethoven,  Ludwig  van",1926-27,N
16966,"Haydn,  Franz  Joseph",1926-27,N
16967,"Musorgsky,  Modest",1926-27,N
16968,"Indy,  Vincent  d'",1926-27,Y
16969,"Strauss,  Richard",1926-27,Y
16970,"Mozart,  Wolfgang  Amadeus",1926-27,N
16971,"Beethoven,  Ludwig  van",1926-27,N
16972,"Berlioz,  Hector",1926-27,N
16973,"Debussy,  Claude",1926-27,N
16974,"Chabrier,  Emmanuel",1926-27,N
16975,"Lalo,  Edouard",1926-27,N
16976,"Mendelssohn,  Felix",1926-27,N
16977,"Enesco,  Georges",1926-27,Y
16978,"Rimsky-Korsakov,  Nikolai",1926-27,N
16979,"Chabrier,  Emmanuel",1926-27,N
16980,"Franck,  César",1926-27,N
16981,"Grieg,  Edvard",1926-27,N
16982,"Dukas,  Paul",1926-27,Y
16983,"Brahms,  Johannes",1926-27,N
16984,"Mendelssohn,  Felix",1926-27,N
16985,"Mendelssohn,  Felix",1926-27,N
16986,"Saint-Saens [Saint-Saëns],  Camille",1926-27,Y
16987,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
16988,"Mozart,  Wolfgang  Amadeus",1926-27,N
16989,"Ippolitov-Ivanov,  Mikhail",1926-27,Y
16990,"Glazunov,  Alexander",1926-27,Y
16991,"Lyadov,  Anatoli",1926-27,
16992,"Schubert,  Franz",1926-27,N
16993,"Smetana,  Bedrich",1926-27,N
16994,"Grainger,  Percy",1926-27,Y
16995,"Bach,  Johann  Sebastian",1926-27,N
16996,"MacDowell,  Edward  A.",1926-27,N
16997,"Strauss,  Richard",1926-27,Y
16998,"Mozart,  Wolfgang  Amadeus",1926-27,N
16999,"Brahms,  Johannes",1926-27,N
17000,"Schelling,  Ernest",1926-27,Y
17001,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
17002,"Beethoven,  Ludwig  van",1926-27,N
17003,"Mozart,  Wolfgang  Amadeus",1926-27,N
17004,"Strauss,  Johann, II",1926-27,
17005,"Sibelius,  Jean",1926-27,Y
17006,"Wagner,  Richard",1926-27,N
17007,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
17008,"Beethoven,  Ludwig  van",1926-27,N
17009,"Mendelssohn,  Felix",1926-27,N
17010,"Wagner,  Richard",1926-27,N
17011,"Wagner,  Richard",1926-27,N
17012,"Weber,  Carl  Maria Von",1926-27,N
17013,"Gounod,  Charles",1926-27,N
17014,"Bizet,  Georges",1926-27,N
17015,"Dukas,  Paul",1926-27,Y
17016,"Verdi,  Giuseppe",1926-27,N
17017,"Cadman,  Charles  Wakefield",1926-27,Y
17018,"Wagner,  Richard",1926-27,N
17019,"Handel,  George  Frideric",1926-27,N
17020,"Humperdinck,  Engelbert",1926-27,Y
17021,"Puccini,  Giacomo",1926-27,Y
17022,"Charpentier,  Gustave",1926-27,Y
17023,"Verdi,  Giuseppe",1926-27,N
17024,"Mendelssohn,  Felix",1926-27,N
17025,"Schelling,  Ernest",1926-27,Y
17026,"Grieg,  Edvard",1926-27,N
17027,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
17028,"Brahms,  Johannes",1926-27,N
17029,"Beethoven,  Ludwig  van",1926-27,N
17030,"Rossini,  Gioachino",1926-27,N
17031,"Langley,  Allan  Lincoln",1926-27,
17032,"Liszt,  Franz",1926-27,N
17033,"Brahms,  Johannes",1926-27,N
17034,"Wagner,  Richard",1926-27,N
17035,"Wagner,  Richard",1926-27,N
17036,"Wagner,  Richard",1926-27,N
17037,"Powell,  John",1926-27,Y
17038,"Haydn,  Franz  Joseph",1926-27,N
17039,"Dunn,  James  Philip",1926-27,Y
17040,"Saint-Saens [Saint-Saëns],  Camille",1926-27,Y
17041,"Stravinsky,  Igor",1926-27,Y
17042,"Wagner,  Richard",1926-27,N
17043,"Berlioz,  Hector",1926-27,N
17044,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
17045,"Brahms,  Johannes",1926-27,N
17046,"Bizet,  Georges",1926-27,N
17047,"Wagner,  Richard",1926-27,N
17048,"Brahms,  Johannes",1926-27,N
17049,"Stravinsky,  Igor",1926-27,Y
17050,"Rimsky-Korsakov,  Nikolai",1926-27,N
17051,"Wagner,  Richard",1926-27,N
17052,"Strauss,  Johann, II",1926-27,
17053,"Liszt,  Franz",1926-27,N
17054,"Tchaikovsky,  Pyotr  Ilyich",1926-27,N
17055,"Beethoven,  Ludwig  van",1926-27,N
17056,"Vivaldi,  Antonio",1927-28,N
17057,"Rieti,  Vittorio",1927-28,Y
17058,"Ferroud,  Pierre  Octave",1927-28,
17059,"Beethoven,  Ludwig  van",1927-28,N
17060,"Vivaldi,  Antonio",1927-28,N
17061,"Rieti,  Vittorio",1927-28,Y
17062,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17063,"Gluck,  Christoph  Willibald",1927-28,N
17064,"Mozart,  Wolfgang  Amadeus",1927-28,N
17065,"Mozart,  Wolfgang  Amadeus",1927-28,N
17066,"Bloch,  Ernest",1927-28,Y
17067,"Beethoven,  Ludwig  van",1927-28,N
17068,"Brahms,  Johannes",1927-28,N
17069,"Schelling,  Ernest",1927-28,Y
17070,"Bach,  Johann  Sebastian",1927-28,N
17071,"Falla,  Manuel  de",1927-28,Y
17072,"Bloch,  Ernest",1927-28,Y
17073,"Schelling,  Ernest",1927-28,Y
17074,"Bach,  Johann  Sebastian",1927-28,N
17075,"Falla,  Manuel  de",1927-28,Y
17076,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17077,"Cherubini,  Luigi",1927-28,N
17078,"Dopper,  Cornelius",1927-28,
17079,"Goldmark,  Rubin",1927-28,Y
17080,"Brahms,  Johannes",1927-28,N
17081,"Dvorak,  Antonín",1927-28,N
17082,"Brahms,  Johannes",1927-28,N
17083,"Schumann,  Robert",1927-28,N
17084,"Schubert,  Franz",1927-28,N
17085,"Mendelssohn,  Felix",1927-28,N
17086,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17087,"Meyerbeer,  Giacomo",1927-28,N
17088,"Vivaldi,  Antonio",1927-28,N
17089,"Rieti,  Vittorio",1927-28,Y
17090,"Schelling,  Ernest",1927-28,Y
17091,"Brahms,  Johannes",1927-28,N
17092,"Dvorak,  Antonín",1927-28,N
17093,"Beethoven,  Ludwig  van",1927-28,N
17094,"Berlioz,  Hector",1927-28,N
17095,"Ponchielli,  Amilcare",1927-28,N
17096,"Schumann,  Robert",1927-28,N
17097,"Cherubini,  Luigi",1927-28,N
17098,"Rieti,  Vittorio",1927-28,Y
17099,"Goldmark,  Rubin",1927-28,Y
17100,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17101,"Vivaldi,  Antonio",1927-28,N
17102,"Rieti,  Vittorio",1927-28,Y
17103,"Liszt,  Franz",1927-28,N
17104,"Brahms,  Johannes",1927-28,N
17105,"Vivaldi,  Antonio",1927-28,N
17106,"Rieti,  Vittorio",1927-28,Y
17107,"Liszt,  Franz",1927-28,N
17108,"Brahms,  Johannes",1927-28,N
17109,"Saminsky,  Lazare",1927-28,Y
17110,"Mero,  Yolanda",1927-28,Y
17111,"Schubert,  Franz",1927-28,N
17112,"Wagner,  Richard",1927-28,N
17113,"Vivaldi,  Antonio",1927-28,N
17114,"Rieti,  Vittorio",1927-28,Y
17115,"Goldmark,  Rubin",1927-28,Y
17116,"Brahms,  Johannes",1927-28,N
17117,"Beethoven,  Ludwig  van",1927-28,N
17118,"Debussy,  Claude",1927-28,N
17119,"Mendelssohn,  Felix",1927-28,N
17120,"Musorgsky,  Modest",1927-28,N
17121,"Cherubini,  Luigi",1927-28,N
17122,"Rieti,  Vittorio",1927-28,Y
17123,"Goldmark,  Rubin",1927-28,Y
17124,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17125,"Wagner,  Richard",1927-28,N
17126,"Wagner,  Richard",1927-28,N
17127,"Wagner,  Richard",1927-28,N
17128,"Wagner,  Richard",1927-28,N
17129,"Wagner,  Richard",1927-28,N
17130,"Vivaldi,  Antonio",1927-28,N
17131,"Falla,  Manuel  de",1927-28,Y
17132,"Brahms,  Johannes",1927-28,N
17133,"Vivaldi,  Antonio",1927-28,N
17134,"Falla,  Manuel  de",1927-28,Y
17135,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17136,"Vivaldi,  Antonio",1927-28,N
17137,"Rieti,  Vittorio",1927-28,Y
17138,"Schelling,  Ernest",1927-28,Y
17139,"Brahms,  Johannes",1927-28,N
17140,"Vivaldi,  Antonio",1927-28,N
17141,"Rieti,  Vittorio",1927-28,Y
17142,"Schelling,  Ernest",1927-28,Y
17143,"Brahms,  Johannes",1927-28,N
17144,"Vivaldi,  Antonio",1927-28,N
17145,"Rieti,  Vittorio",1927-28,Y
17146,"Bloch,  Ernest",1927-28,Y
17147,"Wagner,  Richard",1927-28,N
17148,"Faure [Fauré],  Gabriel-Urbain",1927-28,
17149,"Honegger,  Arthur",1927-28,Y
17150,"Strauss,  Richard",1927-28,Y
17151,"Cherubini,  Luigi",1927-28,N
17152,"Dopper,  Cornelius",1927-28,
17153,"Beethoven,  Ludwig  van",1927-28,N
17154,"Glazunov,  Alexander",1927-28,Y
17155,"Bach,  Johann  Sebastian",1927-28,N
17156,"Gounod,  Charles",1927-28,N
17157,"Musorgsky,  Modest",1927-28,N
17158,"Cherubini,  Luigi",1927-28,N
17159,"Dopper,  Cornelius",1927-28,
17160,"Liszt,  Franz",1927-28,N
17161,"Beethoven,  Ludwig  van",1927-28,N
17162,"Roussel,  Albert",1927-28,Y
17163,"Schumann,  Robert",1927-28,N
17164,"Strauss,  Richard",1927-28,Y
17165,"Reger,  Max",1927-28,N
17166,"Wieniawski,  Henri",1927-28,N
17167,"Respighi,  Ottorino",1927-28,Y
17168,"Dvorak,  Antonín",1927-28,N
17169,"Elgar,  Sir  Edward",1927-28,Y
17170,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17171,"Debussy,  Claude",1927-28,N
17172,"Beethoven,  Ludwig  van",1927-28,N
17173,"Paganini,  Nicolò",1927-28,N
17174,"Roussel,  Albert",1927-28,Y
17175,"Mengelberg,  Rudolf",1927-28,
17176,"Strauss,  Richard",1927-28,Y
17177,"Beethoven,  Ludwig  van",1927-28,N
17178,"Grieg,  Edvard",1927-28,N
17179,"Liszt,  Franz",1927-28,N
17180,"Mengelberg,  Rudolf",1927-28,
17181,"Goldmark,  Rubin",1927-28,Y
17182,"Haydn,  Franz  Joseph",1927-28,N
17183,"Delius,  Frederick",1927-28,Y
17184,"Stravinsky,  Igor",1927-28,Y
17185,"Debussy,  Claude",1927-28,N
17186,"Busch,  Adolf",1927-28,Y
17187,"Beethoven,  Ludwig  van",1927-28,N
17188,"Dunn,  James  Philip",1927-28,Y
17189,"Indy,  Vincent  d'",1927-28,Y
17190,"Stravinsky,  Igor",1927-28,Y
17191,"Debussy,  Claude",1927-28,N
17192,"Rossini,  Gioachino",1927-28,N
17193,"Lyadov,  Anatoli",1927-28,
17194,"Mendelssohn,  Felix",1927-28,N
17195,"Strauss,  Johann, II",1927-28,
17196,"Dunn,  James  Philip",1927-28,Y
17197,"Indy,  Vincent  d'",1927-28,Y
17198,"Wagner,  Richard",1927-28,N
17199,"Beethoven,  Ludwig  van",1927-28,N
17200,"Beethoven,  Ludwig  van",1927-28,N
17201,"Rieti,  Vittorio",1927-28,Y
17202,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17203,"Bruckner,  Anton",1927-28,N
17204,"Liszt,  Franz",1927-28,N
17205,"Wagner,  Richard",1927-28,N
17206,"Beethoven,  Ludwig  van",1927-28,N
17207,"Bach,  Johann  Sebastian",1927-28,N
17208,"Franck,  César",1927-28,N
17209,"Beethoven,  Ludwig  van",1927-28,N
17210,"Gretry [Grétry],  Andre [André]  Ernest Modeste",1927-28,
17211,"Saint-Saens [Saint-Saëns],  Camille",1927-28,N
17212,"Goldmark,  Rubin",1927-28,Y
17213,"Rossini,  Gioachino",1927-28,N
17214,"Franck,  César",1927-28,N
17215,"Smetana,  Bedrich",1927-28,N
17216,"Indy,  Vincent  d'",1927-28,Y
17217,"Mahler,  Gustav",1927-28,N
17218,"Beethoven,  Ludwig  van",1927-28,N
17219,"Gretry [Grétry],  Andre [André]  Ernest Modeste",1927-28,
17220,"Mozart,  Wolfgang  Amadeus",1927-28,N
17221,"Rossini,  Gioachino",1927-28,N
17222,"Franck,  César",1927-28,N
17223,"Smetana,  Bedrich",1927-28,N
17224,"Mozart,  Wolfgang  Amadeus",1927-28,N
17225,"Grieg,  Edvard",1927-28,N
17226,"Franck,  César",1927-28,N
17227,"Holst,  Gustav",1927-28,Y
17228,"Brahms,  Johannes",1927-28,N
17229,"Whithorne,  Emerson",1927-28,Y
17230,"Bach,  Johann  Sebastian",1927-28,N
17231,"Handel,  George  Frideric",1927-28,N
17232,"Bach,  Johann  Sebastian",1927-28,N
17233,"Schutz,  Heinrich",1927-28,N
17234,"Mozart,  Wolfgang  Amadeus",1927-28,N
17235,"Teschner,  Melchior",1927-28,N
17236,"Praetorius,  Michael",1927-28,N
17237,"Bach,  Johann  Sebastian",1927-28,N
17238,"Traditional,",1927-28,Y
17239,"Bach,  Johann  Sebastian",1927-28,N
17240,"Schumann,  Robert",1927-28,N
17241,"Rimsky-Korsakov,  Nikolai",1927-28,N
17242,"Czibulka,  Alphons",1927-28,N
17243,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17244,"Mozart,  Wolfgang  Amadeus",1927-28,N
17245,"Beethoven,  Ludwig  van",1927-28,N
17246,"Beethoven,  Ludwig  van",1927-28,N
17247,"Beethoven,  Ludwig  van",1927-28,N
17248,"Kodaly [Kodály],  Zoltán",1927-28,Y
17249,"Brucken Fock,  Gerardus Hubertus Galenus  von",1927-28,
17250,"Ravel,  Maurice",1927-28,Y
17251,"Beethoven,  Ludwig  van",1927-28,N
17252,"Wagner,  Richard",1927-28,N
17253,"Wagner,  Richard",1927-28,N
17254,"Wagner,  Richard",1927-28,N
17255,"Wagner,  Richard",1927-28,N
17256,"Brahms,  Johannes",1927-28,N
17257,"Mahler,  Gustav",1927-28,N
17258,"Striegler,  Kurt",1927-28,
17259,"Wagner,  Richard",1927-28,N
17260,"Stearns,  Theodor",1927-28,
17261,"Wagner,  Richard",1927-28,N
17262,"Wagner,  Richard",1927-28,N
17263,"Wagner,  Richard",1927-28,N
17264,"Smetana,  Bedrich",1927-28,N
17265,"Brahms,  Johannes",1927-28,N
17266,"Tchaikovsky,  Pyotr  Ilyich",1927-28,N
17267,"Schelling,  Ernest",1927-28,Y
17268,"Kaminski,  Heinrich",1927-28,Y
17269,"Kodaly [Kodály],  Zoltán",1927-28,Y
